seq,block,arm
354,89,AEGIS
355,89,CONTROL
356,89,CONTROL
357,90,AEGIS
358,90,CONTROL
359,90,CONTROL
360,90,AEGIS
361,91,CONTROL
362,91,AEGIS
363,91,CONTROL
364,91,AEGIS
365,92,AEGIS
366,92,AEGIS
367,92,CONTROL
368,92,CONTROL
369,93,AEGIS
370,93,CONTROL
371,93,AEGIS
372,93,CONTROL
373,94,CONTROL
374,94,AEGIS
375,94,CONTROL
376,94,AEGIS
377,95,CONTROL
378,95,CONTROL
379,95,AEGIS
380,95,AEGIS
381,96,CONTROL
382,96,AEGIS
383,96,AEGIS
384,96,CONTROL
385,97,AEGIS
386,97,AEGIS
387,97,CONTROL
388,97,CONTROL
389,98,AEGIS
390,98,AEGIS
391,98,CONTROL
392,98,CONTROL
393,99,CONTROL
394,99,CONTROL
395,99,AEGIS
396,99,AEGIS
397,100,AEGIS
398,100,CONTROL
399,100,CONTROL
400,100,AEGIS
